codigo,salon,nombres,apellidos,email_login,password
EST-2026-0226,2° D,Rodrigo,Castro Acosta,rodrigo.castro5694@blenkir.edu.pe,mbappe29
EST-2026-0164,2° B,Thiago,Castro Aguilar,thiago.castro8311@blenkir.edu.pe,mbappe29
EST-2026-0418,4° B,Mateo,Castro Cáceres,mateo.castro3248@blenkir.edu.pe,mbappe29
EST-2026-0101,1° D,Angela,Castro Cruz,angela.castro9370@blenkir.edu.pe,mbappe29
EST-2026-0353,3° D,Paola,Castro Díaz,paola.castro9809@blenkir.edu.pe,mbappe29
EST-2026-0389,4° A,Julio,Castro Flores,julio.castro9774@blenkir.edu.pe,mbappe29
EST-2026-0340,3° D,Ariana,Castro Gutiérrez,ariana.castro3733@blenkir.edu.pe,mbappe29
EST-2026-0313,3° C,Ian,Castro Herrera,ian.castro6176@blenkir.edu.pe,mbappe29
EST-2026-0033,1° B,Marco,Castro Huamán,marco.castro5875@blenkir.edu.pe,mbappe29
EST-2026-0134,2° A,Renato,Castro Huamán,renato.castro1962@blenkir.edu.pe,mbappe29
EST-2026-0267,3° A,Diego,Castro López,diego.castro0839@blenkir.edu.pe,mbappe29
EST-2026-0358,3° D,Paola,Castro Ortiz,paola.castro8004@blenkir.edu.pe,mbappe29
EST-2026-0314,3° C,Milagros,Castro Ríos,milagros.castro4372@blenkir.edu.pe,mbappe29
EST-2026-0382,4° A,Nicole,Castro Rivera,nicole.castro2503@blenkir.edu.pe,mbappe29
EST-2026-0181,2° C,Felipe,Castro Rivera,felipe.castro4415@blenkir.edu.pe,mbappe29
EST-2026-0005,1° A,Antonella,Castro Rojas,antonella.castro1476@blenkir.edu.pe,mbappe29
EST-2026-0351,3° D,Renato,Castro Valdez,renato.castro3290@blenkir.edu.pe,mbappe29
EST-2026-0220,2° D,Bruno,Chávez Condori,bruno.chavez9260@blenkir.edu.pe,mbappe29
EST-2026-0592,6° A,Sebastián,Chávez Cordero,sebastian.chavez5355@blenkir.edu.pe,mbappe29
EST-2026-0649,6° C,Alejandro,Chávez Flores,alejandro.chavez0332@blenkir.edu.pe,mbappe29
EST-2026-0107,1° D,Paola,Chávez Flores,paola.chavez2562@blenkir.edu.pe,mbappe29
EST-2026-0502,5° A,Ian,Chávez Huamán,ian.chavez7991@blenkir.edu.pe,mbappe29
EST-2026-0469,4° D,Isabella,Chávez López,isabella.chavez4123@blenkir.edu.pe,mbappe29
EST-2026-0119,1° D,Thiago,Chávez Morales,thiago.chavez8446@blenkir.edu.pe,mbappe29
EST-2026-0324,3° C,Ariana,Chávez Navarro,ariana.chavez0434@blenkir.edu.pe,mbappe29
EST-2026-0257,3° A,Julio,Chávez Ortiz,julio.chavez8143@blenkir.edu.pe,mbappe29
EST-2026-0086,1° C,Mariana,Chávez Palomino,mariana.chavez7675@blenkir.edu.pe,mbappe29
EST-2026-0436,4° C,Joaquín,Chávez Ramírez,joaquin.chavez2934@blenkir.edu.pe,mbappe29
EST-2026-0510,5° A,Angela,Chávez Ríos,angela.chavez1121@blenkir.edu.pe,mbappe29
EST-2026-0517,5° B,Bruno,Chávez Rivera,bruno.chavez7061@blenkir.edu.pe,mbappe29
EST-2026-0451,4° D,Óscar,Chávez Rojas,oscar.chavez7580@blenkir.edu.pe,mbappe29
EST-2026-0597,6° A,Luciana,Chávez Torres,luciana.chavez6527@blenkir.edu.pe,mbappe29
EST-2026-0328,3° C,Ariana,Chávez Valdez,ariana.chavez4915@blenkir.edu.pe,mbappe29
EST-2026-0231,2° D,Ruth,Chávez Vega,ruth.chavez2047@blenkir.edu.pe,mbappe29
EST-2026-0284,3° B,Gabriel,Condori Acosta,gabriel.condori4932@blenkir.edu.pe,mbappe29
EST-2026-0321,3° C,Raúl,Condori Chávez,raul.condori8427@blenkir.edu.pe,mbappe29
EST-2026-0613,6° B,Katherine,Condori Delgado,katherine.condori2790@blenkir.edu.pe,mbappe29
EST-2026-0505,5° A,Alejandro,Condori Díaz,alejandro.condori1289@blenkir.edu.pe,mbappe29
EST-2026-0623,6° B,Eduardo,Condori Díaz,eduardo.condori1494@blenkir.edu.pe,mbappe29
EST-2026-0584,6° A,Raúl,Condori Fernández,raul.condori2352@blenkir.edu.pe,mbappe29
EST-2026-0166,2° B,Joaquín,Condori Fernández,joaquin.condori7516@blenkir.edu.pe,mbappe29
EST-2026-0320,3° C,Mariana,Condori Herrera,mariana.condori2132@blenkir.edu.pe,mbappe29
EST-2026-0377,4° A,Thiago,Condori Herrera,thiago.condori1688@blenkir.edu.pe,mbappe29
EST-2026-0280,3° B,Emilia,Condori López,emilia.condori8274@blenkir.edu.pe,mbappe29
EST-2026-0519,5° B,Óscar,Condori Navarro,oscar.condori0559@blenkir.edu.pe,mbappe29
EST-2026-0075,1° C,Nicole,Condori Ortiz,nicole.condori6082@blenkir.edu.pe,mbappe29
EST-2026-0658,6° C,Óscar,Condori Palomino,oscar.condori9678@blenkir.edu.pe,mbappe29
EST-2026-0495,5° A,Renato,Condori Rojas,renato.condori5092@blenkir.edu.pe,mbappe29
EST-2026-0486,5° A,Angela,Condori Silva,angela.condori3766@blenkir.edu.pe,mbappe29
EST-2026-0279,3° B,Renato,Cordero Acosta,renato.cordero2014@blenkir.edu.pe,mbappe29
EST-2026-0345,3° D,Marco,Cordero Acosta,marco.cordero8859@blenkir.edu.pe,mbappe29
EST-2026-0637,6° C,Bruno,Cordero Díaz,bruno.cordero4229@blenkir.edu.pe,mbappe29
EST-2026-0432,4° C,Roxana,Cordero Espinoza,roxana.cordero2359@blenkir.edu.pe,mbappe29
EST-2026-0058,1° B,Gabriel,Cordero Flores,gabriel.cordero1471@blenkir.edu.pe,mbappe29
EST-2026-0139,2° A,Emilia,Cordero García,emilia.cordero8274@blenkir.edu.pe,mbappe29
EST-2026-0143,2° A,Miguel,Cordero López,miguel.cordero6745@blenkir.edu.pe,mbappe29
EST-2026-0338,3° D,Mariana,Cordero Medina,mariana.cordero8592@blenkir.edu.pe,mbappe29
EST-2026-0396,4° B,Fiorella,Cordero Navarro,fiorella.cordero8257@blenkir.edu.pe,mbappe29
EST-2026-0614,6° B,Diego,Cordero Ramírez,diego.cordero1539@blenkir.edu.pe,mbappe29
EST-2026-0282,3° B,Isabella,Cordero Salazar,isabella.cordero0033@blenkir.edu.pe,mbappe29
EST-2026-0533,5° B,Sebastián,Cordero Torres,sebastian.cordero5490@blenkir.edu.pe,mbappe29
EST-2026-0466,4° D,Rosa,Cordero Vega,rosa.cordero7379@blenkir.edu.pe,mbappe29
EST-2026-0467,4° D,Raúl,Cruz Aguilar,raul.cruz8772@blenkir.edu.pe,mbappe29
EST-2026-0568,5° C,Milagros,Cruz Aguilar,milagros.cruz2301@blenkir.edu.pe,mbappe29
EST-2026-0383,4° A,Luciana,Cruz Castro,luciana.cruz7594@blenkir.edu.pe,mbappe29
EST-2026-0616,6° B,Milagros,Cruz Delgado,milagros.cruz7847@blenkir.edu.pe,mbappe29
EST-2026-0130,2° A,Victoria,Cruz Díaz,victoria.cruz2509@blenkir.edu.pe,mbappe29
EST-2026-0605,6° B,Roxana,Cruz Fernández,roxana.cruz7924@blenkir.edu.pe,mbappe29
EST-2026-0540,5° B,Óscar,Cruz Gutiérrez,oscar.cruz6224@blenkir.edu.pe,mbappe29
EST-2026-0068,1° C,Santiago,Cruz Medina,santiago.cruz4022@blenkir.edu.pe,mbappe29
EST-2026-0237,2° D,Ruth,Cruz Medina,ruth.cruz4964@blenkir.edu.pe,mbappe29
EST-2026-0318,3° C,Carmen,Cruz Medina,carmen.cruz9896@blenkir.edu.pe,mbappe29
EST-2026-0459,4° D,Valentina,Cruz Morales,valentina.cruz4285@blenkir.edu.pe,mbappe29
EST-2026-0222,2° D,Katherine,Cruz Navarro,katherine.cruz6817@blenkir.edu.pe,mbappe29
EST-2026-0227,2° D,Ruth,Cruz Ortiz,ruth.cruz1642@blenkir.edu.pe,mbappe29
EST-2026-0173,2° B,Santiago,Cruz Pérez,santiago.cruz2808@blenkir.edu.pe,mbappe29
EST-2026-0569,5° C,Ian,Cruz Rojas,ian.cruz7511@blenkir.edu.pe,mbappe29
EST-2026-0115,1° D,Miguel,Delgado Espinoza,miguel.delgado6286@blenkir.edu.pe,mbappe29
EST-2026-0087,1° C,Sebastián,Delgado García,sebastian.delgado6322@blenkir.edu.pe,mbappe29
EST-2026-0364,4° A,Sofía,Delgado Mendoza,sofia.delgado0258@blenkir.edu.pe,mbappe29
EST-2026-0578,6° A,Carmen,Delgado Morales,carmen.delgado1762@blenkir.edu.pe,mbappe29
EST-2026-0235,2° D,Milagros,Delgado Palomino,milagros.delgado7260@blenkir.edu.pe,mbappe29
EST-2026-0133,2° A,Raúl,Delgado Pérez,raul.delgado1767@blenkir.edu.pe,mbappe29
EST-2026-0550,5° C,Ruth,Delgado Pérez,ruth.delgado2670@blenkir.edu.pe,mbappe29
EST-2026-0150,2° A,Sebastián,Delgado Rivera,sebastian.delgado7056@blenkir.edu.pe,mbappe29
EST-2026-0094,1° D,Ian,Delgado Rojas,ian.delgado7637@blenkir.edu.pe,mbappe29
EST-2026-0447,4° C,Miguel,Delgado Rojas,miguel.delgado9114@blenkir.edu.pe,mbappe29
EST-2026-0409,4° B,Katherine,Delgado Salazar,katherine.delgado0450@blenkir.edu.pe,mbappe29
EST-2026-0346,3° D,Carmen,Delgado Sánchez,carmen.delgado3882@blenkir.edu.pe,mbappe29
EST-2026-0433,4° C,Carmen,Delgado Silva,carmen.delgado5806@blenkir.edu.pe,mbappe29
EST-2026-0060,1° B,Fiorella,Delgado Silva,fiorella.delgado2699@blenkir.edu.pe,mbappe29
EST-2026-0539,5° B,Lucía,Delgado Torres,lucia.delgado7671@blenkir.edu.pe,mbappe29
EST-2026-0129,2° A,Katherine,Delgado Vásquez,katherine.delgado1346@blenkir.edu.pe,mbappe29
EST-2026-0153,2° B,Julio,Díaz Aguilar,julio.diaz6856@blenkir.edu.pe,mbappe29
EST-2026-0408,4° B,Isabella,Díaz Condori,isabella.diaz4454@blenkir.edu.pe,mbappe29
EST-2026-0138,2° A,Roxana,Díaz Fernández,roxana.diaz6014@blenkir.edu.pe,mbappe29
EST-2026-0085,1° C,Renato,Díaz Mamani,renato.diaz3274@blenkir.edu.pe,mbappe29
EST-2026-0350,3° D,Emilia,Díaz Mamani,emilia.diaz0834@blenkir.edu.pe,mbappe29
EST-2026-0598,6° A,Joaquín,Díaz Navarro,joaquin.diaz2785@blenkir.edu.pe,mbappe29
EST-2026-0283,3° B,Ian,Díaz Ramírez,ian.diaz2137@blenkir.edu.pe,mbappe29
EST-2026-0299,3° B,Óscar,Díaz Rojas,oscar.diaz6386@blenkir.edu.pe,mbappe29
EST-2026-0047,1° B,Marco,Díaz Rojas,marco.diaz3048@blenkir.edu.pe,mbappe29
EST-2026-0546,5° C,Gabriel,Díaz Rojas,gabriel.diaz1011@blenkir.edu.pe,mbappe29
EST-2026-0555,5° C,Renato,Díaz Rojas,renato.diaz7812@blenkir.edu.pe,mbappe29
EST-2026-0262,3° A,Katherine,Díaz Vega,katherine.diaz6529@blenkir.edu.pe,mbappe29
EST-2026-0457,4° D,Joaquín,Espinoza Chávez,joaquin.espinoza2245@blenkir.edu.pe,mbappe29
EST-2026-0604,6° B,Felipe,Espinoza Chávez,felipe.espinoza5332@blenkir.edu.pe,mbappe29
EST-2026-0529,5° B,Eduardo,Espinoza Condori,eduardo.espinoza7223@blenkir.edu.pe,mbappe29
EST-2026-0374,4° A,Rodrigo,Espinoza Condori,rodrigo.espinoza7789@blenkir.edu.pe,mbappe29
EST-2026-0031,1° B,Katherine,Espinoza Condori,katherine.espinoza3588@blenkir.edu.pe,mbappe29
EST-2026-0617,6° B,Emilio,Espinoza Fernández,emilio.espinoza7528@blenkir.edu.pe,mbappe29
EST-2026-0201,2° C,Nicole,Espinoza Flores,nicole.espinoza5737@blenkir.edu.pe,mbappe29
EST-2026-0585,6° A,Patricia,Espinoza García,patricia.espinoza3530@blenkir.edu.pe,mbappe29
EST-2026-0492,5° A,Felipe,Espinoza Gutiérrez,felipe.espinoza7288@blenkir.edu.pe,mbappe29
EST-2026-0274,3° B,Marco,Espinoza Morales,marco.espinoza7725@blenkir.edu.pe,mbappe29
EST-2026-0186,2° C,Ariana,Espinoza Pérez,ariana.espinoza1181@blenkir.edu.pe,mbappe29
EST-2026-0265,3° A,Luciana,Espinoza Quispe,luciana.espinoza7820@blenkir.edu.pe,mbappe29
EST-2026-0271,3° B,Óscar,Espinoza Ramírez,oscar.espinoza0088@blenkir.edu.pe,mbappe29
EST-2026-0327,3° C,Roxana,Espinoza Rojas,roxana.espinoza6768@blenkir.edu.pe,mbappe29
EST-2026-0608,6° B,Roxana,Espinoza Salazar,roxana.espinoza7341@blenkir.edu.pe,mbappe29
EST-2026-0160,2° B,Emilio,Espinoza Sánchez,emilio.espinoza1783@blenkir.edu.pe,mbappe29
EST-2026-0290,3° B,Alejandro,Espinoza Sánchez,alejandro.espinoza8555@blenkir.edu.pe,mbappe29
EST-2026-0375,4° A,Luciana,Espinoza Valdez,luciana.espinoza5321@blenkir.edu.pe,mbappe29
EST-2026-0063,1° C,Gladys,Espinoza Valdez,gladys.espinoza1150@blenkir.edu.pe,mbappe29
EST-2026-0141,2° A,Óscar,Fernández Aguilar,oscar.fernandez9598@blenkir.edu.pe,mbappe29
EST-2026-0339,3° D,Ariana,Fernández Cáceres,ariana.fernandez9342@blenkir.edu.pe,mbappe29
EST-2026-0416,4° B,Felipe,Fernández Chávez,felipe.fernandez7622@blenkir.edu.pe,mbappe29
EST-2026-0588,6° A,Paola,Fernández Delgado,paola.fernandez3174@blenkir.edu.pe,mbappe29
EST-2026-0366,4° A,Ian,Fernández Espinoza,ian.fernandez6046@blenkir.edu.pe,mbappe29
EST-2026-0125,2° A,Ruth,Fernández García,ruth.fernandez5454@blenkir.edu.pe,mbappe29
EST-2026-0639,6° C,Diego,Fernández Herrera,diego.fernandez5664@blenkir.edu.pe,mbappe29
EST-2026-0156,2° B,Luciana,Fernández Navarro,luciana.fernandez7937@blenkir.edu.pe,mbappe29
EST-2026-0255,3° A,Katherine,Fernández Ortiz,katherine.fernandez4841@blenkir.edu.pe,mbappe29
EST-2026-0298,3° B,Sofía,Fernández Quispe,sofia.fernandez8210@blenkir.edu.pe,mbappe29
EST-2026-0179,2° B,Andrés,Fernández Reyes,andres.fernandez9987@blenkir.edu.pe,mbappe29
EST-2026-0006,1° A,Roxana,Fernández Rivera,roxana.fernandez2385@blenkir.edu.pe,mbappe29
EST-2026-0169,2° B,Rosa,Fernández Rivera,rosa.fernandez4997@blenkir.edu.pe,mbappe29
EST-2026-0027,1° A,Valeria,Fernández Salazar,valeria.fernandez6029@blenkir.edu.pe,mbappe29
EST-2026-0039,1° B,Mateo,Fernández Salazar,mateo.fernandez9062@blenkir.edu.pe,mbappe29
EST-2026-0310,3° C,Camila,Fernández Salazar,camila.fernandez3023@blenkir.edu.pe,mbappe29
EST-2026-0431,4° C,Adrián,Fernández Torres,adrian.fernandez1974@blenkir.edu.pe,mbappe29
EST-2026-0503,5° A,Mía,Fernández Valdez,mia.fernandez2264@blenkir.edu.pe,mbappe29
EST-2026-0097,1° D,Angela,Fernández Valdez,angela.fernandez9726@blenkir.edu.pe,mbappe29
EST-2026-0326,3° C,Héctor,Fernández Vega,hector.fernandez8320@blenkir.edu.pe,mbappe29
EST-2026-0594,6° A,Mariana,Flores Aguilar,mariana.flores5997@blenkir.edu.pe,mbappe29
EST-2026-0297,3° B,Santiago,Flores Chávez,santiago.flores6400@blenkir.edu.pe,mbappe29
EST-2026-0038,1° B,Gabriel,Flores Condori,gabriel.flores8717@blenkir.edu.pe,mbappe29
EST-2026-0114,1° D,Victoria,Flores Delgado,victoria.flores0895@blenkir.edu.pe,mbappe29
EST-2026-0167,2° B,Valentina,Flores Delgado,valentina.flores4229@blenkir.edu.pe,mbappe29
EST-2026-0199,2° C,Camila,Flores Delgado,camila.flores7850@blenkir.edu.pe,mbappe29
EST-2026-0581,6° A,Angela,Flores Delgado,angela.flores8807@blenkir.edu.pe,mbappe29
EST-2026-0534,5° B,Emilio,Flores Fernández,emilio.flores2480@blenkir.edu.pe,mbappe29
EST-2026-0023,1° A,Adrián,Flores Huamán,adrian.flores6018@blenkir.edu.pe,mbappe29
EST-2026-0572,6° A,Óscar,Flores López,oscar.flores9453@blenkir.edu.pe,mbappe29
EST-2026-0127,2° A,Rosa,Flores Mendoza,rosa.flores3352@blenkir.edu.pe,mbappe29
EST-2026-0493,5° A,Katherine,Flores Morales,katherine.flores6026@blenkir.edu.pe,mbappe29
EST-2026-0008,1° A,Gabriel,Flores Ortiz,gabriel.flores5907@blenkir.edu.pe,mbappe29
EST-2026-0508,5° A,Rosa,Flores Quispe,rosa.flores2082@blenkir.edu.pe,mbappe29
EST-2026-0582,6° A,Bruno,Flores Reyes,bruno.flores1466@blenkir.edu.pe,mbappe29
EST-2026-0618,6° B,Ian,Flores Reyes,ian.flores1140@blenkir.edu.pe,mbappe29
EST-2026-0543,5° C,Eduardo,Flores Silva,eduardo.flores6654@blenkir.edu.pe,mbappe29
EST-2026-0004,1° A,Milagros,Flores Silva,milagros.flores0562@blenkir.edu.pe,mbappe29
EST-2026-0378,4° A,Valentina,Flores Torres,valentina.flores3957@blenkir.edu.pe,mbappe29
EST-2026-0046,1° B,Andrés,Flores Vásquez,andres.flores2838@blenkir.edu.pe,mbappe29
EST-2026-0462,4° D,Nicole,Flores Vásquez,nicole.flores7632@blenkir.edu.pe,mbappe29
EST-2026-0051,1° B,Nicole,García Chávez,nicole.garcia5235@blenkir.edu.pe,mbappe29
EST-2026-0337,3° D,Marco,García Cordero,marco.garcia2963@blenkir.edu.pe,mbappe29
EST-2026-0455,4° D,Carmen,García Cruz,carmen.garcia8793@blenkir.edu.pe,mbappe29
EST-2026-0518,5° B,Rodrigo,García Díaz,rodrigo.garcia7760@blenkir.edu.pe,mbappe29
EST-2026-0332,3° D,Mía,García Díaz,mia.garcia2719@blenkir.edu.pe,mbappe29
EST-2026-0300,3° B,Renato,García Fernández,renato.garcia7726@blenkir.edu.pe,mbappe29
EST-2026-0644,6° C,Adrián,García Gutiérrez,adrian.garcia3655@blenkir.edu.pe,mbappe29
EST-2026-0611,6° B,Isabella,García Medina,isabella.garcia1882@blenkir.edu.pe,mbappe29
EST-2026-0258,3° A,Ariana,García Mendoza,ariana.garcia7547@blenkir.edu.pe,mbappe29
EST-2026-0272,3° B,Marco,García Morales,marco.garcia4087@blenkir.edu.pe,mbappe29
EST-2026-0562,5° C,Nicole,García Reyes,nicole.garcia5741@blenkir.edu.pe,mbappe29
EST-2026-0147,2° A,Alejandro,García Sánchez,alejandro.garcia1140@blenkir.edu.pe,mbappe29
EST-2026-0120,1° D,Ariana,García Silva,ariana.garcia5864@blenkir.edu.pe,mbappe29
EST-2026-0067,1° C,Luciana,García Torres,luciana.garcia9334@blenkir.edu.pe,mbappe29
EST-2026-0204,2° C,Rosa,Gutiérrez Acosta,rosa.gutierrez9319@blenkir.edu.pe,mbappe29
EST-2026-0615,6° B,César,Gutiérrez Acosta,cesar.gutierrez2032@blenkir.edu.pe,mbappe29
EST-2026-0256,3° A,Thiago,Gutiérrez Castro,thiago.gutierrez7075@blenkir.edu.pe,mbappe29
EST-2026-0580,6° A,Milagros,Gutiérrez Chávez,milagros.gutierrez4685@blenkir.edu.pe,mbappe29
EST-2026-0323,3° C,Raúl,Gutiérrez Condori,raul.gutierrez9624@blenkir.edu.pe,mbappe29
EST-2026-0045,1° B,Felipe,Gutiérrez Cordero,felipe.gutierrez8586@blenkir.edu.pe,mbappe29
EST-2026-0496,5° A,Mateo,Gutiérrez Espinoza,mateo.gutierrez5829@blenkir.edu.pe,mbappe29
EST-2026-0609,6° B,Thiago,Gutiérrez Navarro,thiago.gutierrez1275@blenkir.edu.pe,mbappe29
EST-2026-0022,1° A,Antonella,Gutiérrez Navarro,antonella.gutierrez6704@blenkir.edu.pe,mbappe29
EST-2026-0406,4° B,Felipe,Gutiérrez Ortiz,felipe.gutierrez7294@blenkir.edu.pe,mbappe29
EST-2026-0627,6° B,Victoria,Gutiérrez Ortiz,victoria.gutierrez9157@blenkir.edu.pe,mbappe29
EST-2026-0056,1° B,Isabella,Gutiérrez Quispe,isabella.gutierrez1182@blenkir.edu.pe,mbappe29
EST-2026-0336,3° D,Héctor,Gutiérrez Reyes,hector.gutierrez5087@blenkir.edu.pe,mbappe29
EST-2026-0244,3° A,Emilia,Gutiérrez Ríos,emilia.gutierrez3827@blenkir.edu.pe,mbappe29
EST-2026-0438,4° C,Lucía,Gutiérrez Ríos,lucia.gutierrez5913@blenkir.edu.pe,mbappe29
EST-2026-0029,1° A,Camila,Gutiérrez Vega,camila.gutierrez2633@blenkir.edu.pe,mbappe29
EST-2026-0072,1° C,Antonella,Herrera Castro,antonella.herrera6402@blenkir.edu.pe,mbappe29
EST-2026-0266,3° A,Gladys,Herrera Delgado,gladys.herrera9115@blenkir.edu.pe,mbappe29
EST-2026-0499,5° A,Julio,Herrera Espinoza,julio.herrera3833@blenkir.edu.pe,mbappe29
EST-2026-0386,4° A,Camila,Herrera Fernández,camila.herrera6136@blenkir.edu.pe,mbappe29
EST-2026-0306,3° C,Joaquín,Herrera Gutiérrez,joaquin.herrera0558@blenkir.edu.pe,mbappe29
EST-2026-0559,5° C,Alejandro,Herrera López,alejandro.herrera1379@blenkir.edu.pe,mbappe29
EST-2026-0095,1° D,Milagros,Herrera Medina,milagros.herrera7324@blenkir.edu.pe,mbappe29
EST-2026-0109,1° D,Ian,Herrera Medina,ian.herrera9528@blenkir.edu.pe,mbappe29
EST-2026-0355,3° D,Óscar,Herrera Morales,oscar.herrera0879@blenkir.edu.pe,mbappe29
EST-2026-0440,4° C,César,Herrera Quispe,cesar.herrera1491@blenkir.edu.pe,mbappe29
EST-2026-0342,3° D,Angela,Herrera Ramírez,angela.herrera4654@blenkir.edu.pe,mbappe29
EST-2026-0176,2° B,Lucía,Herrera Ríos,lucia.herrera9106@blenkir.edu.pe,mbappe29
EST-2026-0472,4° D,Rosa,Herrera Ríos,rosa.herrera1605@blenkir.edu.pe,mbappe29
EST-2026-0481,5° A,Miguel,Herrera Rivera,miguel.herrera1903@blenkir.edu.pe,mbappe29
EST-2026-0641,6° C,Paola,Herrera Sánchez,paola.herrera8239@blenkir.edu.pe,mbappe29
EST-2026-0349,3° D,Valentina,Herrera Torres,valentina.herrera6358@blenkir.edu.pe,mbappe29
EST-2026-0055,1° B,Valentina,Herrera Valdez,valentina.herrera9785@blenkir.edu.pe,mbappe29
