codigo,salon,nombres,apellidos,email_login,password,cuenta_activa
EST-2026-0027,1° A,Adrián,Quispe Flores,adrian.quispe0027@blenkir.edu.pe,mbappe29,si
EST-2026-0028,1° A,Valeria,Quispe Flores,valeria.quispe0028@blenkir.edu.pe,mbappe29,si
EST-2026-0029,1° A,Emilio,Quispe Flores,emilio.quispe0029@blenkir.edu.pe,mbappe29,si
EST-2026-0030,1° A,Nicole,Quispe Flores,nicole.quispe0030@blenkir.edu.pe,mbappe29,si
EST-2026-0031,1° B,Rodrigo,Quispe Flores,rodrigo.quispe0031@blenkir.edu.pe,mbappe29,si
EST-2026-0032,1° B,Paola,Quispe Flores,paola.quispe0032@blenkir.edu.pe,mbappe29,si
EST-2026-0033,1° B,César,Quispe Flores,cesar.quispe0033@blenkir.edu.pe,mbappe29,si
EST-2026-0034,1° B,Milagros,Quispe Flores,milagros.quispe0034@blenkir.edu.pe,mbappe29,si
EST-2026-0035,1° B,Eduardo,Quispe Flores,eduardo.quispe0035@blenkir.edu.pe,mbappe29,si
EST-2026-0036,1° B,Roxana,Quispe Flores,roxana.quispe0036@blenkir.edu.pe,mbappe29,si
EST-2026-0037,1° B,Julio,Quispe Flores,julio.quispe0037@blenkir.edu.pe,mbappe29,si
EST-2026-0038,1° B,Katherine,Quispe Flores,katherine.quispe0038@blenkir.edu.pe,mbappe29,si
EST-2026-0039,1° B,Marco,Quispe Flores,marco.quispe0039@blenkir.edu.pe,mbappe29,si
EST-2026-0040,1° B,Angela,Quispe Flores,angela.quispe0040@blenkir.edu.pe,mbappe29,si
EST-2026-0041,1° B,Felipe,Quispe Flores,felipe.quispe0041@blenkir.edu.pe,mbappe29,si
EST-2026-0042,1° B,Ruth,Quispe Flores,ruth.quispe0042@blenkir.edu.pe,mbappe29,si
EST-2026-0043,1° B,Héctor,Quispe Flores,hector.quispe0043@blenkir.edu.pe,mbappe29,si
EST-2026-0044,1° B,Gladys,Quispe Flores,gladys.quispe0044@blenkir.edu.pe,mbappe29,si
EST-2026-0045,1° B,Óscar,Quispe Flores,oscar.quispe0045@blenkir.edu.pe,mbappe29,si
EST-2026-0046,1° B,Patricia,Quispe Flores,patricia.quispe0046@blenkir.edu.pe,mbappe29,si
EST-2026-0047,1° B,Raúl,Quispe Flores,raul.quispe0047@blenkir.edu.pe,mbappe29,si
EST-2026-0048,1° B,Carmen,Quispe Flores,carmen.quispe0048@blenkir.edu.pe,mbappe29,si
EST-2026-0049,1° B,Miguel,Quispe Flores,miguel.quispe0049@blenkir.edu.pe,mbappe29,si
EST-2026-0050,1° B,Rosa,Quispe Flores,rosa.quispe0050@blenkir.edu.pe,mbappe29,si
EST-2026-0051,1° B,Mateo,Flores García,mateo.flores0051@blenkir.edu.pe,mbappe29,si
EST-2026-0052,1° B,Valentina,Flores García,valentina.flores0052@blenkir.edu.pe,mbappe29,si
EST-2026-0053,1° B,Santiago,Flores García,santiago.flores0053@blenkir.edu.pe,mbappe29,si
EST-2026-0054,1° B,Luciana,Flores García,luciana.flores0054@blenkir.edu.pe,mbappe29,si
EST-2026-0055,1° B,Sebastián,Flores García,sebastian.flores0055@blenkir.edu.pe,mbappe29,si
EST-2026-0056,1° B,Camila,Flores García,camila.flores0056@blenkir.edu.pe,mbappe29,si
EST-2026-0057,1° B,Diego,Flores García,diego.flores0057@blenkir.edu.pe,mbappe29,si
EST-2026-0058,1° B,Isabella,Flores García,isabella.flores0058@blenkir.edu.pe,mbappe29,si
EST-2026-0059,1° B,Alejandro,Flores García,alejandro.flores0059@blenkir.edu.pe,mbappe29,si
EST-2026-0060,1° B,Sofía,Flores García,sofia.flores0060@blenkir.edu.pe,mbappe29,si
EST-2026-0061,1° C,Daniel,Flores García,daniel.flores0061@blenkir.edu.pe,mbappe29,si
EST-2026-0062,1° C,Mariana,Flores García,mariana.flores0062@blenkir.edu.pe,mbappe29,si
EST-2026-0063,1° C,Andrés,Flores García,andres.flores0063@blenkir.edu.pe,mbappe29,si
EST-2026-0064,1° C,Emilia,Flores García,emilia.flores0064@blenkir.edu.pe,mbappe29,si
EST-2026-0065,1° C,Gabriel,Flores García,gabriel.flores0065@blenkir.edu.pe,mbappe29,si
EST-2026-0066,1° C,Victoria,Flores García,victoria.flores0066@blenkir.edu.pe,mbappe29,si
EST-2026-0067,1° C,Renato,Flores García,renato.flores0067@blenkir.edu.pe,mbappe29,si
EST-2026-0068,1° C,Fiorella,Flores García,fiorella.flores0068@blenkir.edu.pe,mbappe29,si
EST-2026-0069,1° C,Bruno,Flores García,bruno.flores0069@blenkir.edu.pe,mbappe29,si
EST-2026-0070,1° C,Ariana,Flores García,ariana.flores0070@blenkir.edu.pe,mbappe29,si
EST-2026-0071,1° C,Joaquín,Flores García,joaquin.flores0071@blenkir.edu.pe,mbappe29,si
EST-2026-0072,1° C,Mía,Flores García,mia.flores0072@blenkir.edu.pe,mbappe29,si
EST-2026-0073,1° C,Thiago,Flores García,thiago.flores0073@blenkir.edu.pe,mbappe29,si
EST-2026-0074,1° C,Antonella,Flores García,antonella.flores0074@blenkir.edu.pe,mbappe29,si
EST-2026-0075,1° C,Ian,Flores García,ian.flores0075@blenkir.edu.pe,mbappe29,si
EST-2026-0076,1° C,Lucía,Flores García,lucia.flores0076@blenkir.edu.pe,mbappe29,si
EST-2026-0077,1° C,Adrián,Flores García,adrian.flores0077@blenkir.edu.pe,mbappe29,si
EST-2026-0078,1° C,Valeria,Flores García,valeria.flores0078@blenkir.edu.pe,mbappe29,si
EST-2026-0079,1° C,Emilio,Flores García,emilio.flores0079@blenkir.edu.pe,mbappe29,si
EST-2026-0080,1° C,Nicole,Flores García,nicole.flores0080@blenkir.edu.pe,mbappe29,si
EST-2026-0081,1° C,Rodrigo,Flores García,rodrigo.flores0081@blenkir.edu.pe,mbappe29,si
EST-2026-0082,1° C,Paola,Flores García,paola.flores0082@blenkir.edu.pe,mbappe29,si
EST-2026-0083,1° C,César,Flores García,cesar.flores0083@blenkir.edu.pe,mbappe29,si
EST-2026-0084,1° C,Milagros,Flores García,milagros.flores0084@blenkir.edu.pe,mbappe29,si
EST-2026-0085,1° C,Eduardo,Flores García,eduardo.flores0085@blenkir.edu.pe,mbappe29,si
EST-2026-0086,1° C,Roxana,Flores García,roxana.flores0086@blenkir.edu.pe,mbappe29,si
EST-2026-0087,1° C,Julio,Flores García,julio.flores0087@blenkir.edu.pe,mbappe29,si
EST-2026-0088,1° C,Katherine,Flores García,katherine.flores0088@blenkir.edu.pe,mbappe29,si
EST-2026-0089,1° C,Marco,Flores García,marco.flores0089@blenkir.edu.pe,mbappe29,si
EST-2026-0090,1° C,Angela,Flores García,angela.flores0090@blenkir.edu.pe,mbappe29,si
EST-2026-0091,1° D,Felipe,Flores García,felipe.flores0091@blenkir.edu.pe,mbappe29,si
EST-2026-0092,1° D,Ruth,Flores García,ruth.flores0092@blenkir.edu.pe,mbappe29,si
EST-2026-0093,1° D,Héctor,Flores García,hector.flores0093@blenkir.edu.pe,mbappe29,si
EST-2026-0094,1° D,Gladys,Flores García,gladys.flores0094@blenkir.edu.pe,mbappe29,si
EST-2026-0095,1° D,Óscar,Flores García,oscar.flores0095@blenkir.edu.pe,mbappe29,si
EST-2026-0096,1° D,Patricia,Flores García,patricia.flores0096@blenkir.edu.pe,mbappe29,si
EST-2026-0097,1° D,Raúl,Flores García,raul.flores0097@blenkir.edu.pe,mbappe29,si
EST-2026-0098,1° D,Carmen,Flores García,carmen.flores0098@blenkir.edu.pe,mbappe29,si
EST-2026-0099,1° D,Miguel,Flores García,miguel.flores0099@blenkir.edu.pe,mbappe29,si
EST-2026-0100,1° D,Rosa,Flores García,rosa.flores0100@blenkir.edu.pe,mbappe29,si
EST-2026-0101,1° D,Mateo,García Torres,mateo.garcia0101@blenkir.edu.pe,mbappe29,si
EST-2026-0102,1° D,Valentina,García Torres,valentina.garcia0102@blenkir.edu.pe,mbappe29,si
EST-2026-0103,1° D,Santiago,García Torres,santiago.garcia0103@blenkir.edu.pe,mbappe29,si
EST-2026-0104,1° D,Luciana,García Torres,luciana.garcia0104@blenkir.edu.pe,mbappe29,si
EST-2026-0105,1° D,Sebastián,García Torres,sebastian.garcia0105@blenkir.edu.pe,mbappe29,si
EST-2026-0106,1° D,Camila,García Torres,camila.garcia0106@blenkir.edu.pe,mbappe29,si
EST-2026-0107,1° D,Diego,García Torres,diego.garcia0107@blenkir.edu.pe,mbappe29,si
EST-2026-0108,1° D,Isabella,García Torres,isabella.garcia0108@blenkir.edu.pe,mbappe29,si
EST-2026-0109,1° D,Alejandro,García Torres,alejandro.garcia0109@blenkir.edu.pe,mbappe29,si
EST-2026-0110,1° D,Sofía,García Torres,sofia.garcia0110@blenkir.edu.pe,mbappe29,si
EST-2026-0111,1° D,Daniel,García Torres,daniel.garcia0111@blenkir.edu.pe,mbappe29,si
EST-2026-0112,1° D,Mariana,García Torres,mariana.garcia0112@blenkir.edu.pe,mbappe29,si
EST-2026-0113,1° D,Andrés,García Torres,andres.garcia0113@blenkir.edu.pe,mbappe29,si
EST-2026-0114,1° D,Emilia,García Torres,emilia.garcia0114@blenkir.edu.pe,mbappe29,si
EST-2026-0115,1° D,Gabriel,García Torres,gabriel.garcia0115@blenkir.edu.pe,mbappe29,si
EST-2026-0116,1° D,Victoria,García Torres,victoria.garcia0116@blenkir.edu.pe,mbappe29,si
EST-2026-0117,1° D,Renato,García Torres,renato.garcia0117@blenkir.edu.pe,mbappe29,si
EST-2026-0118,1° D,Fiorella,García Torres,fiorella.garcia0118@blenkir.edu.pe,mbappe29,si
EST-2026-0119,1° D,Bruno,García Torres,bruno.garcia0119@blenkir.edu.pe,mbappe29,si
EST-2026-0120,1° D,Ariana,García Torres,ariana.garcia0120@blenkir.edu.pe,mbappe29,si
EST-2026-0121,2° A,Joaquín,García Torres,joaquin.garcia0121@blenkir.edu.pe,mbappe29,si
EST-2026-0122,2° A,Mía,García Torres,mia.garcia0122@blenkir.edu.pe,mbappe29,si
EST-2026-0123,2° A,Thiago,García Torres,thiago.garcia0123@blenkir.edu.pe,mbappe29,si
EST-2026-0124,2° A,Antonella,García Torres,antonella.garcia0124@blenkir.edu.pe,mbappe29,si
EST-2026-0125,2° A,Ian,García Torres,ian.garcia0125@blenkir.edu.pe,mbappe29,si
EST-2026-0126,2° A,Lucía,García Torres,lucia.garcia0126@blenkir.edu.pe,mbappe29,si
EST-2026-0127,2° A,Adrián,García Torres,adrian.garcia0127@blenkir.edu.pe,mbappe29,si
EST-2026-0128,2° A,Valeria,García Torres,valeria.garcia0128@blenkir.edu.pe,mbappe29,si
EST-2026-0129,2° A,Emilio,García Torres,emilio.garcia0129@blenkir.edu.pe,mbappe29,si
EST-2026-0130,2° A,Nicole,García Torres,nicole.garcia0130@blenkir.edu.pe,mbappe29,si
EST-2026-0131,2° A,Rodrigo,García Torres,rodrigo.garcia0131@blenkir.edu.pe,mbappe29,si
EST-2026-0132,2° A,Paola,García Torres,paola.garcia0132@blenkir.edu.pe,mbappe29,si
EST-2026-0133,2° A,César,García Torres,cesar.garcia0133@blenkir.edu.pe,mbappe29,si
EST-2026-0134,2° A,Milagros,García Torres,milagros.garcia0134@blenkir.edu.pe,mbappe29,si
EST-2026-0135,2° A,Eduardo,García Torres,eduardo.garcia0135@blenkir.edu.pe,mbappe29,si
EST-2026-0136,2° A,Roxana,García Torres,roxana.garcia0136@blenkir.edu.pe,mbappe29,si
EST-2026-0137,2° A,Julio,García Torres,julio.garcia0137@blenkir.edu.pe,mbappe29,si
EST-2026-0138,2° A,Katherine,García Torres,katherine.garcia0138@blenkir.edu.pe,mbappe29,si
EST-2026-0139,2° A,Marco,García Torres,marco.garcia0139@blenkir.edu.pe,mbappe29,si
EST-2026-0140,2° A,Angela,García Torres,angela.garcia0140@blenkir.edu.pe,mbappe29,si
EST-2026-0141,2° A,Felipe,García Torres,felipe.garcia0141@blenkir.edu.pe,mbappe29,si
EST-2026-0142,2° A,Ruth,García Torres,ruth.garcia0142@blenkir.edu.pe,mbappe29,si
EST-2026-0143,2° A,Héctor,García Torres,hector.garcia0143@blenkir.edu.pe,mbappe29,si
EST-2026-0144,2° A,Gladys,García Torres,gladys.garcia0144@blenkir.edu.pe,mbappe29,si
EST-2026-0145,2° A,Óscar,García Torres,oscar.garcia0145@blenkir.edu.pe,mbappe29,si
EST-2026-0146,2° A,Patricia,García Torres,patricia.garcia0146@blenkir.edu.pe,mbappe29,si
EST-2026-0147,2° A,Raúl,García Torres,raul.garcia0147@blenkir.edu.pe,mbappe29,si
EST-2026-0148,2° A,Carmen,García Torres,carmen.garcia0148@blenkir.edu.pe,mbappe29,si
EST-2026-0149,2° A,Miguel,García Torres,miguel.garcia0149@blenkir.edu.pe,mbappe29,si
EST-2026-0150,2° A,Rosa,García Torres,rosa.garcia0150@blenkir.edu.pe,mbappe29,si
EST-2026-0151,2° B,Mateo,Torres Mamani,mateo.torres0151@blenkir.edu.pe,mbappe29,si
EST-2026-0152,2° B,Valentina,Torres Mamani,valentina.torres0152@blenkir.edu.pe,mbappe29,si
EST-2026-0153,2° B,Santiago,Torres Mamani,santiago.torres0153@blenkir.edu.pe,mbappe29,si
EST-2026-0154,2° B,Luciana,Torres Mamani,luciana.torres0154@blenkir.edu.pe,mbappe29,si
EST-2026-0155,2° B,Sebastián,Torres Mamani,sebastian.torres0155@blenkir.edu.pe,mbappe29,si
EST-2026-0156,2° B,Camila,Torres Mamani,camila.torres0156@blenkir.edu.pe,mbappe29,si
EST-2026-0157,2° B,Diego,Torres Mamani,diego.torres0157@blenkir.edu.pe,mbappe29,si
EST-2026-0158,2° B,Isabella,Torres Mamani,isabella.torres0158@blenkir.edu.pe,mbappe29,si
EST-2026-0159,2° B,Alejandro,Torres Mamani,alejandro.torres0159@blenkir.edu.pe,mbappe29,si
EST-2026-0160,2° B,Sofía,Torres Mamani,sofia.torres0160@blenkir.edu.pe,mbappe29,si
EST-2026-0161,2° B,Daniel,Torres Mamani,daniel.torres0161@blenkir.edu.pe,mbappe29,si
EST-2026-0162,2° B,Mariana,Torres Mamani,mariana.torres0162@blenkir.edu.pe,mbappe29,si
EST-2026-0163,2° B,Andrés,Torres Mamani,andres.torres0163@blenkir.edu.pe,mbappe29,si
EST-2026-0164,2° B,Emilia,Torres Mamani,emilia.torres0164@blenkir.edu.pe,mbappe29,si
EST-2026-0165,2° B,Gabriel,Torres Mamani,gabriel.torres0165@blenkir.edu.pe,mbappe29,si
EST-2026-0166,2° B,Victoria,Torres Mamani,victoria.torres0166@blenkir.edu.pe,mbappe29,si
EST-2026-0167,2° B,Renato,Torres Mamani,renato.torres0167@blenkir.edu.pe,mbappe29,si
EST-2026-0168,2° B,Fiorella,Torres Mamani,fiorella.torres0168@blenkir.edu.pe,mbappe29,si
EST-2026-0169,2° B,Bruno,Torres Mamani,bruno.torres0169@blenkir.edu.pe,mbappe29,si
EST-2026-0170,2° B,Ariana,Torres Mamani,ariana.torres0170@blenkir.edu.pe,mbappe29,si
EST-2026-0171,2° B,Joaquín,Torres Mamani,joaquin.torres0171@blenkir.edu.pe,mbappe29,si
EST-2026-0172,2° B,Mía,Torres Mamani,mia.torres0172@blenkir.edu.pe,mbappe29,si
EST-2026-0173,2° B,Thiago,Torres Mamani,thiago.torres0173@blenkir.edu.pe,mbappe29,si
EST-2026-0174,2° B,Antonella,Torres Mamani,antonella.torres0174@blenkir.edu.pe,mbappe29,si
EST-2026-0175,2° B,Ian,Torres Mamani,ian.torres0175@blenkir.edu.pe,mbappe29,si
EST-2026-0176,2° B,Lucía,Torres Mamani,lucia.torres0176@blenkir.edu.pe,mbappe29,si
EST-2026-0177,2° B,Adrián,Torres Mamani,adrian.torres0177@blenkir.edu.pe,mbappe29,si
EST-2026-0178,2° B,Valeria,Torres Mamani,valeria.torres0178@blenkir.edu.pe,mbappe29,si
EST-2026-0179,2° B,Emilio,Torres Mamani,emilio.torres0179@blenkir.edu.pe,mbappe29,si
EST-2026-0180,2° B,Nicole,Torres Mamani,nicole.torres0180@blenkir.edu.pe,mbappe29,si
EST-2026-0181,2° C,Rodrigo,Torres Mamani,rodrigo.torres0181@blenkir.edu.pe,mbappe29,si
EST-2026-0182,2° C,Paola,Torres Mamani,paola.torres0182@blenkir.edu.pe,mbappe29,si
EST-2026-0183,2° C,César,Torres Mamani,cesar.torres0183@blenkir.edu.pe,mbappe29,si
EST-2026-0184,2° C,Milagros,Torres Mamani,milagros.torres0184@blenkir.edu.pe,mbappe29,si
EST-2026-0185,2° C,Eduardo,Torres Mamani,eduardo.torres0185@blenkir.edu.pe,mbappe29,si
EST-2026-0186,2° C,Roxana,Torres Mamani,roxana.torres0186@blenkir.edu.pe,mbappe29,si
EST-2026-0187,2° C,Julio,Torres Mamani,julio.torres0187@blenkir.edu.pe,mbappe29,si
EST-2026-0188,2° C,Katherine,Torres Mamani,katherine.torres0188@blenkir.edu.pe,mbappe29,si
EST-2026-0189,2° C,Marco,Torres Mamani,marco.torres0189@blenkir.edu.pe,mbappe29,si
EST-2026-0190,2° C,Angela,Torres Mamani,angela.torres0190@blenkir.edu.pe,mbappe29,si
EST-2026-0191,2° C,Felipe,Torres Mamani,felipe.torres0191@blenkir.edu.pe,mbappe29,si
EST-2026-0192,2° C,Ruth,Torres Mamani,ruth.torres0192@blenkir.edu.pe,mbappe29,si
EST-2026-0193,2° C,Héctor,Torres Mamani,hector.torres0193@blenkir.edu.pe,mbappe29,si
EST-2026-0194,2° C,Gladys,Torres Mamani,gladys.torres0194@blenkir.edu.pe,mbappe29,si
EST-2026-0195,2° C,Óscar,Torres Mamani,oscar.torres0195@blenkir.edu.pe,mbappe29,si
EST-2026-0196,2° C,Patricia,Torres Mamani,patricia.torres0196@blenkir.edu.pe,mbappe29,si
EST-2026-0197,2° C,Raúl,Torres Mamani,raul.torres0197@blenkir.edu.pe,mbappe29,si
EST-2026-0198,2° C,Carmen,Torres Mamani,carmen.torres0198@blenkir.edu.pe,mbappe29,si
EST-2026-0199,2° C,Miguel,Torres Mamani,miguel.torres0199@blenkir.edu.pe,mbappe29,si
EST-2026-0200,2° C,Rosa,Torres Mamani,rosa.torres0200@blenkir.edu.pe,mbappe29,si
EST-2026-0201,2° C,Mateo,Mamani Rojas,mateo.mamani0201@blenkir.edu.pe,mbappe29,si
EST-2026-0202,2° C,Valentina,Mamani Rojas,valentina.mamani0202@blenkir.edu.pe,mbappe29,si
EST-2026-0203,2° C,Santiago,Mamani Rojas,santiago.mamani0203@blenkir.edu.pe,mbappe29,si
EST-2026-0204,2° C,Luciana,Mamani Rojas,luciana.mamani0204@blenkir.edu.pe,mbappe29,si
EST-2026-0205,2° C,Sebastián,Mamani Rojas,sebastian.mamani0205@blenkir.edu.pe,mbappe29,si
EST-2026-0206,2° C,Camila,Mamani Rojas,camila.mamani0206@blenkir.edu.pe,mbappe29,si
EST-2026-0207,2° C,Diego,Mamani Rojas,diego.mamani0207@blenkir.edu.pe,mbappe29,si
EST-2026-0208,2° C,Isabella,Mamani Rojas,isabella.mamani0208@blenkir.edu.pe,mbappe29,si
EST-2026-0209,2° C,Alejandro,Mamani Rojas,alejandro.mamani0209@blenkir.edu.pe,mbappe29,si
EST-2026-0210,2° C,Sofía,Mamani Rojas,sofia.mamani0210@blenkir.edu.pe,mbappe29,si
EST-2026-0211,2° D,Daniel,Mamani Rojas,daniel.mamani0211@blenkir.edu.pe,mbappe29,si
EST-2026-0212,2° D,Mariana,Mamani Rojas,mariana.mamani0212@blenkir.edu.pe,mbappe29,si
EST-2026-0213,2° D,Andrés,Mamani Rojas,andres.mamani0213@blenkir.edu.pe,mbappe29,si
EST-2026-0214,2° D,Emilia,Mamani Rojas,emilia.mamani0214@blenkir.edu.pe,mbappe29,si
EST-2026-0215,2° D,Gabriel,Mamani Rojas,gabriel.mamani0215@blenkir.edu.pe,mbappe29,si
EST-2026-0216,2° D,Victoria,Mamani Rojas,victoria.mamani0216@blenkir.edu.pe,mbappe29,si
EST-2026-0217,2° D,Renato,Mamani Rojas,renato.mamani0217@blenkir.edu.pe,mbappe29,si
EST-2026-0218,2° D,Fiorella,Mamani Rojas,fiorella.mamani0218@blenkir.edu.pe,mbappe29,si
EST-2026-0219,2° D,Bruno,Mamani Rojas,bruno.mamani0219@blenkir.edu.pe,mbappe29,si
EST-2026-0220,2° D,Ariana,Mamani Rojas,ariana.mamani0220@blenkir.edu.pe,mbappe29,si
EST-2026-0221,2° D,Joaquín,Mamani Rojas,joaquin.mamani0221@blenkir.edu.pe,mbappe29,si
EST-2026-0222,2° D,Mía,Mamani Rojas,mia.mamani0222@blenkir.edu.pe,mbappe29,si
EST-2026-0223,2° D,Thiago,Mamani Rojas,thiago.mamani0223@blenkir.edu.pe,mbappe29,si
EST-2026-0224,2° D,Antonella,Mamani Rojas,antonella.mamani0224@blenkir.edu.pe,mbappe29,si
EST-2026-0225,2° D,Ian,Mamani Rojas,ian.mamani0225@blenkir.edu.pe,mbappe29,si
EST-2026-0226,2° D,Lucía,Mamani Rojas,lucia.mamani0226@blenkir.edu.pe,mbappe29,si
EST-2026-0227,2° D,Adrián,Mamani Rojas,adrian.mamani0227@blenkir.edu.pe,mbappe29,si
EST-2026-0228,2° D,Valeria,Mamani Rojas,valeria.mamani0228@blenkir.edu.pe,mbappe29,si
EST-2026-0229,2° D,Emilio,Mamani Rojas,emilio.mamani0229@blenkir.edu.pe,mbappe29,si
EST-2026-0230,2° D,Nicole,Mamani Rojas,nicole.mamani0230@blenkir.edu.pe,mbappe29,si
EST-2026-0231,2° D,Rodrigo,Mamani Rojas,rodrigo.mamani0231@blenkir.edu.pe,mbappe29,si
EST-2026-0232,2° D,Paola,Mamani Rojas,paola.mamani0232@blenkir.edu.pe,mbappe29,si
EST-2026-0233,2° D,César,Mamani Rojas,cesar.mamani0233@blenkir.edu.pe,mbappe29,si
EST-2026-0234,2° D,Milagros,Mamani Rojas,milagros.mamani0234@blenkir.edu.pe,mbappe29,si
EST-2026-0235,2° D,Eduardo,Mamani Rojas,eduardo.mamani0235@blenkir.edu.pe,mbappe29,si
EST-2026-0236,2° D,Roxana,Mamani Rojas,roxana.mamani0236@blenkir.edu.pe,mbappe29,si
EST-2026-0237,2° D,Julio,Mamani Rojas,julio.mamani0237@blenkir.edu.pe,mbappe29,si
EST-2026-0238,2° D,Katherine,Mamani Rojas,katherine.mamani0238@blenkir.edu.pe,mbappe29,si
EST-2026-0239,2° D,Marco,Mamani Rojas,marco.mamani0239@blenkir.edu.pe,mbappe29,si
EST-2026-0240,2° D,Angela,Mamani Rojas,angela.mamani0240@blenkir.edu.pe,mbappe29,si
EST-2026-0241,3° A,Felipe,Mamani Rojas,felipe.mamani0241@blenkir.edu.pe,mbappe29,si
EST-2026-0242,3° A,Ruth,Mamani Rojas,ruth.mamani0242@blenkir.edu.pe,mbappe29,si
EST-2026-0243,3° A,Héctor,Mamani Rojas,hector.mamani0243@blenkir.edu.pe,mbappe29,si
EST-2026-0244,3° A,Gladys,Mamani Rojas,gladys.mamani0244@blenkir.edu.pe,mbappe29,si
EST-2026-0245,3° A,Óscar,Mamani Rojas,oscar.mamani0245@blenkir.edu.pe,mbappe29,si
EST-2026-0246,3° A,Patricia,Mamani Rojas,patricia.mamani0246@blenkir.edu.pe,mbappe29,si
EST-2026-0247,3° A,Raúl,Mamani Rojas,raul.mamani0247@blenkir.edu.pe,mbappe29,si
EST-2026-0248,3° A,Carmen,Mamani Rojas,carmen.mamani0248@blenkir.edu.pe,mbappe29,si
EST-2026-0249,3° A,Miguel,Mamani Rojas,miguel.mamani0249@blenkir.edu.pe,mbappe29,si
EST-2026-0250,3° A,Rosa,Mamani Rojas,rosa.mamani0250@blenkir.edu.pe,mbappe29,si
EST-2026-0251,3° A,Mateo,Rojas Díaz,mateo.rojas0251@blenkir.edu.pe,mbappe29,si
EST-2026-0252,3° A,Valentina,Rojas Díaz,valentina.rojas0252@blenkir.edu.pe,mbappe29,si
EST-2026-0253,3° A,Santiago,Rojas Díaz,santiago.rojas0253@blenkir.edu.pe,mbappe29,si
EST-2026-0254,3° A,Luciana,Rojas Díaz,luciana.rojas0254@blenkir.edu.pe,mbappe29,si
EST-2026-0255,3° A,Sebastián,Rojas Díaz,sebastian.rojas0255@blenkir.edu.pe,mbappe29,si
EST-2026-0256,3° A,Camila,Rojas Díaz,camila.rojas0256@blenkir.edu.pe,mbappe29,si
EST-2026-0257,3° A,Diego,Rojas Díaz,diego.rojas0257@blenkir.edu.pe,mbappe29,si
EST-2026-0258,3° A,Isabella,Rojas Díaz,isabella.rojas0258@blenkir.edu.pe,mbappe29,si
EST-2026-0259,3° A,Alejandro,Rojas Díaz,alejandro.rojas0259@blenkir.edu.pe,mbappe29,si
EST-2026-0260,3° A,Sofía,Rojas Díaz,sofia.rojas0260@blenkir.edu.pe,mbappe29,si
